cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos,true_label,ai_risk_score
2.1,5165,3,2,2,2,2,2,2,0,0,0,1,1,0.999999999986144
4.3,5165,3,2,2,2,2,2,2,0,0,0,1,1,0.999999999986144
5.0,4202,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999861133
4.3,5613,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999860971
5.0,5603,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999860867
6.9,6533,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999860822
6.8,4104,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999860092
5.0,5489,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999859652
5.0,4985,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999859528
10.0,4985,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999859528
6.8,4985,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999859528
6.8,4985,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999859528
2.6,5467,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999859417
7.5,4039,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999859399
5.0,5449,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999859226
6.8,5440,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999859128
3.5,4005,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999859035
10.0,6362,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999859
3.5,5424,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999858957
7.5,5419,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999858904
9.3,3982,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999858789
5.0,4887,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999858475
4.6,4887,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999858475
5.0,4887,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999858475
6.8,4887,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999858475
7.1,5357,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999858236
6.8,3914,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999858054
10.0,5326,3,2,2,2,2,2,3,1,0,0,0,1,0.99999999998579
3.5,6258,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999857878
4.3,6252,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999857814
4.1,3886,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999857752
5.0,6245,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999857738
4.3,4803,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999857567
7.5,5292,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999857532
7.5,5291,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999857521
4.3,3832,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999857165
4.3,5250,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999857077
5.0,3823,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999857068
7.5,3793,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999856741
7.6,6146,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999856661
6.8,8906,3,2,2,2,2,2,2,1,0,0,0,1,0.9999999999856641
9.3,5199,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999856519
10.0,4705,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999856501
4.3,3747,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999856239
2.1,6104,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999856204
6.8,5167,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999856171
6.8,5154,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999856028
6.8,4649,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855886
4.3,5138,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999855853
5.0,5130,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999855764
4.3,5129,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999855753
7.5,4613,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855491
4.3,4613,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855491
4.3,4613,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855491
7.5,4613,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855491
4.3,4613,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855491
4.3,4613,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999855491
6.8,3675,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999855449
3.5,3675,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999855449
5.0,8792,3,2,2,2,2,2,2,1,0,0,0,1,0.9999999999855391
3.3,6027,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999855358
4.3,5080,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999855214
2.1,6007,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999855138
5.4,5986,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999854905
6.4,5986,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999854905
